"Database","Pathway","Overlap","Genes","p_value","FDR","Combined_Score","Direction"
"GO_Molecular_Function_2023","Minor Groove Of Adenine-Thymine-Rich DNA Binding (GO:0003680)","1/6","MEF2C","0.0066","0.0971","955.5","Negative"
"GO_Molecular_Function_2023","Endopeptidase Inhibitor Activity (GO:0004866)","2/112","SERPINA3;PTTG1","0.0067","0.0971","90.5","Negative"
"GO_Molecular_Function_2023","siRNA Binding (GO:0035197)","1/9","FAM172A","0.0099","0.0971","549.1","Negative"
"GO_Molecular_Function_2023","Complement Component C3b Binding (GO:0001851)","1/10","CFHR3","0.0109","0.0971","477.0","Negative"
"GO_Molecular_Function_2023","Transmembrane Receptor Protein Tyrosine Kinase Activator Activity (GO:0030297)","1/12","BTC","0.0131","0.0971","374.6","Negative"
"GO_Biological_Process_2023","Epidermal Growth Factor Receptor Signaling Pathway (GO:0007173)","1/45","BTC","0.0484","0.0977","65.3","Negative"
"GO_Biological_Process_2023","B Cell Receptor Signaling Pathway (GO:0050853)","1/46","MEF2C","0.0494","0.0979","63.4","Negative"
"GO_Biological_Process_2023","Response To Hydrogen Peroxide (GO:0042542)","1/46","ZNF580","0.0494","0.0979","63.4","Negative"
"GO_Biological_Process_2023","Cellular Response To Mechanical Stimulus (GO:0071260)","1/48","LTBR","0.0515","0.1011","59.9","Negative"
"KEGG_2021_Human","Viral protein interaction with cytokine and cytokine receptor","2/100","LTBR;CCL27","0.0054","0.1018","106.1","Negative"
"GO_Biological_Process_2023","Regulation Of Synapse Assembly (GO:0051963)","1/51","MEF2C","0.0547","0.1036","55.2","Negative"
"GO_Biological_Process_2023","Cartilage Development (GO:0051216)","1/52","MEF2C","0.0557","0.1036","53.7","Negative"
"GO_Biological_Process_2023","Positive Regulation Of B Cell Activation (GO:0050871)","1/52","MEF2C","0.0557","0.1036","53.7","Negative"
"GO_Biological_Process_2023","Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)","1/53","FAM172A","0.0567","0.1036","52.4","Negative"
"GO_Biological_Process_2023","ERBB Signaling Pathway (GO:0038127)","1/54","BTC","0.0578","0.1036","51.0","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Leukocyte Chemotaxis (GO:0002690)","1/54","ZNF580","0.0578","0.1036","51.0","Negative"
"GO_Biological_Process_2023","Mesenchymal Cell Differentiation (GO:0048762)","1/54","MEF2C","0.0578","0.1036","51.0","Negative"
"GO_Biological_Process_2023","Regulation Of Lipid Metabolic Process (GO:0019216)","1/54","SERPINA3","0.0578","0.1036","51.0","Negative"
"GO_Biological_Process_2023","Regulation Of Myoblast Differentiation (GO:0045661)","1/54","MEF2C","0.0578","0.1036","51.0","Negative"
"GO_Biological_Process_2023","Regulation Of Blood Vessel Endothelial Cell Migration (GO:0043535)","1/54","MEF2C","0.0578","0.1036","51.0","Negative"
"GO_Biological_Process_2023","Regulation Of Synaptic Transmission, Glutamatergic (GO:0051966)","1/55","MEF2C","0.0588","0.1037","49.8","Negative"
"GO_Biological_Process_2023","Neuron Migration (GO:0001764)","1/55","MEF2C","0.0588","0.1037","49.8","Negative"
"GO_Biological_Process_2023","Regulation Of Mitotic Nuclear Division (GO:0007088)","1/56","BTC","0.0599","0.1041","48.6","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)","2/364","MEF2C;ZNF580","0.0601","0.1041","15.2","Negative"
"GO_Biological_Process_2023","Regulation Of Neuron Death (GO:1901214)","1/58","MEF2C","0.0619","0.1056","46.3","Negative"
"GO_Biological_Process_2023","Regulation Of Bone Mineralization (GO:0030500)","1/58","MEF2C","0.0619","0.1056","46.3","Negative"
"GO_Molecular_Function_2023","Protein Tyrosine Kinase Binding (GO:1990782)","2/85","CEACAM7;RNF41","0.0043","0.1069","124.6","Positive"
"GO_Molecular_Function_2023","Immunoglobulin Receptor Binding (GO:0034987)","1/7","IGHM","0.0080","0.1069","730.1","Positive"
"GO_Molecular_Function_2023","Metal-Dependent Deubiquitinase Activity (GO:0140492)","1/8","MYSM1","0.0092","0.1069","608.5","Positive"
"GO_Biological_Process_2023","Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)","1/60","LTBR","0.0640","0.1073","44.2","Negative"
"GO_Biological_Process_2023","Negative Regulation Of Peptidase Activity (GO:0010466)","1/60","SERPINA3","0.0640","0.1073","44.2","Negative"
"GO_Biological_Process_2023","Positive Regulation Of Interleukin-8 Production (GO:0032757)","1/61","ZNF580","0.0650","0.1082","43.2","Negative"
"GO_Cellular_Component_2023","Nuclear Stress Granule (GO:0097165)","1/5","RBFOX1","0.0057","0.1090","1171.3","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Apoptotic Signaling Pathway (GO:2001235)","1/62","LTBR","0.0661","0.1090","42.2","Negative"
"GO_Biological_Process_2023","Regulation Of Secretion By Cell (GO:1903530)","1/64","MEF2C","0.0681","0.1116","40.4","Negative"
"GO_Biological_Process_2023","Antibacterial Humoral Response (GO:0019731)","2/49","IGHM;DEFA5","0.0014","0.1136","264.3","Positive"
"GO_Biological_Process_2023","Regulation Of MAPK Cascade (GO:0043408)","3/204","OSM;STK3;RNF41","0.0016","0.1136","95.1","Positive"
"GO_Biological_Process_2023","Defense Response To Gram-negative Bacterium (GO:0050829)","2/75","IGHM;DEFA5","0.0033","0.1136","148.1","Positive"
"GO_Biological_Process_2023","Cell Junction Disassembly (GO:0150146)","1/5","C1QC","0.0057","0.1136","1171.3","Positive"
"GO_Biological_Process_2023","Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455)","1/5","C1QC","0.0057","0.1136","1171.3","Positive"
"GO_Biological_Process_2023","Antimicrobial Humoral Response (GO:0019730)","2/100","IGHM;DEFA5","0.0058","0.1136","99.3","Positive"
"GO_Biological_Process_2023","Regulation Of Protein Secretion (GO:0050708)","2/102","DNAJC1;FGG","0.0061","0.1136","96.6","Positive"
"GO_Biological_Process_2023","Synapse Pruning (GO:0098883)","1/8","C1QC","0.0092","0.1136","608.5","Positive"
"GO_Biological_Process_2023","Plasminogen Activation (GO:0031639)","1/8","FGG","0.0092","0.1136","608.5","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Peptide Secretion (GO:0002793)","1/8","FGG","0.0092","0.1136","608.5","Positive"
"GO_Biological_Process_2023","Nucleic Acid Transport (GO:0050657)","1/8","RBFOX1","0.0092","0.1136","608.5","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Hormone Secretion (GO:0046888)","1/9","OSM","0.0103","0.1136","519.1","Positive"
"GO_Biological_Process_2023","Regulation Of Granulocyte Differentiation (GO:0030852)","1/9","C1QC","0.0103","0.1136","519.1","Positive"
"GO_Biological_Process_2023","Regulation Of Protein Kinase B Signaling (GO:0051896)","2/136","OSM;RNF41","0.0106","0.1136","64.2","Positive"
"GO_Biological_Process_2023","Inositol Phosphate Biosynthetic Process (GO:0032958)","1/10","IP6K2","0.0114","0.1136","450.8","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090267)","1/11","NDC80","0.0126","0.1136","397.1","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Spindle Checkpoint (GO:0090232)","1/11","NDC80","0.0126","0.1136","397.1","Positive"
"GO_Biological_Process_2023","Fibrinolysis (GO:0042730)","1/12","FGG","0.0137","0.1136","353.9","Positive"
"GO_Biological_Process_2023","Regulation Of Hematopoietic Stem Cell Differentiation (GO:1902036)","1/12","OSM","0.0137","0.1136","353.9","Positive"
"GO_Biological_Process_2023","Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315)","1/12","NDC80","0.0137","0.1136","353.9","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Vasoconstriction (GO:0045907)","1/12","FGG","0.0137","0.1136","353.9","Positive"
"GO_Biological_Process_2023","Killing By Host Of Symbiont Cells (GO:0051873)","1/13","DEFA5","0.0149","0.1136","318.4","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Heterotypic Cell-Cell Adhesion (GO:0034116)","1/14","FGG","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Protein Activation Cascade (GO:0072376)","1/14","FGG","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Establishment Of Chromosome Localization (GO:0051303)","1/14","NDC80","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Regulation Of Hemopoiesis (GO:1903706)","1/14","MYSM1","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Acute Inflammatory Response (GO:0002675)","1/14","OSM","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Regulation Of Macrophage Differentiation (GO:0045649)","1/14","C1QC","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Blood Coagulation, Fibrin Clot Formation (GO:0072378)","1/14","FGG","0.0160","0.1136","288.7","Positive"
"GO_Biological_Process_2023","Polyol Biosynthetic Process (GO:0046173)","1/15","IP6K2","0.0171","0.1136","263.6","Positive"
"GO_Biological_Process_2023","Regulation Of Hormone Secretion (GO:0046883)","1/15","OSM","0.0171","0.1136","263.6","Positive"
"GO_Biological_Process_2023","Nuclear Chromosome Segregation (GO:0098813)","1/16","NDC80","0.0182","0.1136","242.2","Positive"
"GO_Biological_Process_2023","Polyol Metabolic Process (GO:0019751)","1/17","IP6K2","0.0194","0.1136","223.6","Positive"
"GO_Biological_Process_2023","Regulation Of Hematopoietic Progenitor Cell Differentiation (GO:1901532)","1/17","OSM","0.0194","0.1136","223.6","Positive"
"GO_Biological_Process_2023","Hippo Signaling (GO:0035329)","1/17","STK3","0.0194","0.1136","223.6","Positive"
"GO_Biological_Process_2023","Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266)","1/17","NDC80","0.0194","0.1136","223.6","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Endopeptidase Activity (GO:0010951)","1/66","SERPINA3","0.0702","0.1140","38.8","Negative"
"GO_Biological_Process_2023","Regulation Of Endopeptidase Activity (GO:0052548)","1/69","SERPINA3","0.0732","0.1163","36.4","Negative"
"GO_Biological_Process_2023","Cellular Response To Calcium Ion (GO:0071277)","1/69","MEF2C","0.0732","0.1163","36.4","Negative"
"GO_Biological_Process_2023","Regulation Of Monoatomic Ion Transmembrane Transporter Activity (GO:0032412)","1/69","MEF2C","0.0732","0.1163","36.4","Negative"
"KEGG_2021_Human","JAK-STAT signaling pathway","2/162","OSM;IL20RB","0.0148","0.1180","49.7","Positive"
"GO_Biological_Process_2023","Positive Regulation Of Hormone Secretion (GO:0046887)","1/19","FGG","0.0216","0.1201","193.2","Positive"
"GO_Biological_Process_2023","Regulation Of Acute Inflammatory Response (GO:0002673)","1/19","OSM","0.0216","0.1201","193.2","Positive"
"GO_Biological_Process_2023","Defense Response To Bacterium (GO:0042742)","2/204","IGHM;DEFA5","0.0228","0.1203","35.3","Positive"
"GO_Biological_Process_2023","Negative Regulation Of Cellular Process (GO:0048523)","3/537","OSM;RNF41;IP6K2","0.0229","0.1203","20.6","Positive"
