"protein","beta","se","t_stat","p_value","n_obs","fdr","rank_metric"
"HNRNPLL",-0.0309117492401067,0.0227593937442238,-1.35819739258002,0.186532752341328,27,0.896531207390823,-0.729244901591159
"CHST3",-0.0389171902478505,0.0286468754210634,-1.35851431179945,0.186433551538821,27,0.896531207390823,-0.729475927084332
"COX4I2",-0.0277481385882891,0.0204133963233754,-1.35931023670542,0.186184596603103,27,0.896531207390823,-0.730056251856229
"EHD4",-0.00718604779096645,0.00528397449173834,-1.35997018952345,0.185978369673268,27,0.896531207390823,-0.730537563727266
"ABHD10",-0.0423628864611274,0.0311393937753224,-1.36042746261488,0.185835582680217,27,0.896531207390823,-0.730871126283621
"SPI1",-0.0197544634938932,0.0145073611134418,-1.36168551533398,0.185443189790653,27,0.896531207390823,-0.731789111058193
"CSTF1",-0.0231860714742151,0.0170235755220513,-1.36199774507895,0.185345904526218,27,0.896531207390823,-0.732017005864874
"CD37",-0.0277013906002791,0.02033563667454,-1.36220916235,0.185280053383782,27,0.896531207390823,-0.732171332821619
"SCARF2 2",-0.0335055540211707,0.0245749756259565,-1.36340131242212,0.184909072276648,27,0.896531207390823,-0.733041780333369
"FDX2",-0.0824932375648151,0.0604524803721853,-1.36459640790473,0.184537760004451,27,0.896531207390823,-0.733914755338621
"KLRF1",-0.0221466218904011,0.0162210938443224,-1.36529768602213,0.184320147865648,27,0.896531207390823,-0.734427189856223
"CD34",-0.049885789996035,0.0365363326546641,-1.36537485761223,0.184296213224072,27,0.896531207390823,-0.734483588236083
"DDX1",-0.0668912583915982,0.0489608097117201,-1.36622042783712,0.184034120864424,27,0.896531207390823,-0.73510164911362
"CDK2|CCNA2",-0.0467691382688861,0.0342142139598049,-1.36695054060955,0.183808051221482,27,0.896531207390823,-0.735635469421717
"SPHK2",-0.0615030670523487,0.0449615647525673,-1.36790317220525,0.183513409711504,27,0.896531207390823,-0.736332195439534
"TMEM185A",-0.0263215561196596,0.0192402302980063,-1.36804787219138,0.183468687622194,27,0.896531207390823,-0.736438045598676
"WDR26",-0.042845348728059,0.0312528282815716,-1.37092708352809,0.182580596084011,27,0.896531207390823,-0.738545379383426
"RPRD1A",-0.0348132918959689,0.0253867202800687,-1.37131900111182,0.182459971108755,27,0.896531207390823,-0.738832398239675
"PATE4",-0.0753834374500119,0.0549405754226692,-1.37209042442806,0.182222724415972,27,0.896531207390823,-0.739397464503173
"SH3PXD2B",-0.0444060508434038,0.0323513950366078,-1.37261625945822,0.182061146088892,27,0.896531207390823,-0.739782727679116
"PEX26",-0.0157797932061424,0.011495382072493,-1.37270715376233,0.182033227562464,27,0.896531207390823,-0.739849330531958
"CHST2 2",-0.0187922432787487,0.0136850781976743,-1.37319224686216,0.181884286354753,27,0.896531207390823,-0.740204819596236
"KLK11",-0.000115157499159673,8.38226595338432e-05,-1.37382301874087,0.181690759909554,27,0.896531207390823,-0.740667158670677
"ITGA2B|ITGB3",-0.0294725236393569,0.0214519235134793,-1.37388722371856,0.181671070339977,27,0.896531207390823,-0.740714225097114
"MYBPC3",-0.0723466571784843,0.0526198598278074,-1.37489262448115,0.181362965772267,27,0.896531207390823,-0.741451390940653
"NPL",-0.0131698388619299,0.0095774508809404,-1.37508811328269,0.181303106121549,27,0.896531207390823,-0.741594755419696
"LGALS7 2",-0.0101245752187753,0.00736154325277348,-1.37533325161961,0.181228065518058,27,0.896531207390823,-0.741774545313805
"RBKS",-0.00638554572305915,0.00464000113383079,-1.37619486264807,0.180964507192124,27,0.896531207390823,-0.7424065955293
"LAG3",-0.0433876194364281,0.0315179587890722,-1.37659991647274,0.180840709570809,27,0.896531207390823,-0.742703797578452
"KCNIP1",-0.0306356705286821,0.0221823315862144,-1.38108432874212,0.179474580938468,27,0.896531207390823,-0.745997052043189
"MSRB1",-0.0349178904369328,0.0252584576505199,-1.38242369823456,0.179068138236588,27,0.896531207390823,-0.746981681705465
"SNIP1",-0.0365667873214134,0.0263970025064585,-1.38526286507214,0.178208970852032,27,0.896531207390823,-0.749070437821738
"HDAC6",-0.0408655772360219,0.0294795890702058,-1.38623293352904,0.177916162996498,27,0.896531207390823,-0.749784596146918
"GAB1",-0.0240500597446994,0.0173490646825761,-1.38624532127391,0.177912426307033,27,0.896531207390823,-0.74979371752538
"SIGLEC6",-0.0284553248834807,0.0205261481652686,-1.3862963793484,0.177897025597024,27,0.896531207390823,-0.749831313172952
"LRIT2",-0.0347235693696409,0.0250065085532055,-1.38858126858297,0.177208908726779,27,0.896531207390823,-0.751514448850621
"DCAF5",-0.0421263486087057,0.030334781696968,-1.38871441467852,0.177168875401925,27,0.896531207390823,-0.751612571548651
"C1orf115",-0.0228380524162106,0.0164444293716809,-1.38880175772716,0.177142617660035,27,0.896531207390823,-0.751676941983449
"CD22",-0.0212110364235443,0.015253117016721,-1.39060340258925,0.176601678895379,27,0.896531207390823,-0.753005172040824
"SEMA3B",-0.0473699317747946,0.0340395427390487,-1.39161480922168,0.176298579702396,27,0.896531207390823,-0.753751186452219
"RGS3",-0.0647710940866244,0.0465381642750487,-1.39178446540813,0.17624777730351,27,0.896531207390823,-0.753876351277883
"OSCAR",-0.0593722318588567,0.042652509693794,-1.39199855495245,0.176183686157855,27,0.896531207390823,-0.754034307840161
"PDGFD",-0.00460172215730472,0.0032984747448564,-1.39510607576444,0.175255473914568,27,0.896531207390823,-0.756328408432544
"PLAU",-0.0202460532084092,0.0145059379008642,-1.39570797467725,0.175076135726747,27,0.896531207390823,-0.756773047683045
"WFDC10A",-0.0395002508617945,0.0282985437715863,-1.39584040721754,0.175036696425715,27,0.896531207390823,-0.756870891973844
"TNFRSF9 2",-0.0575555355869638,0.0411836827524054,-1.39753251143142,0.174533395220912,27,0.896531207390823,-0.758121462844978
"LCTL",-0.0307255498559911,0.0219838341951567,-1.39764290356413,0.174500599936474,27,0.896531207390823,-0.758203075589317
"JCHAIN",-0.0526342970824311,0.0376551228719061,-1.39779910588741,0.174454203703656,27,0.896531207390823,-0.758318561192623
"FCAMR",-0.050054605900049,0.0358042223048215,-1.39800846598219,0.174392033526661,27,0.896531207390823,-0.758473358133006
"MRFAP1L1",-0.0548768474085101,0.0392505813113554,-1.39811553294458,0.174360246418313,27,0.896531207390823,-0.75855252587804
"NDUFB4",-0.0307682108665065,0.022004003985594,-1.39830054960226,0.17430532764393,27,0.896531207390823,-0.758689338472337
"PDCL2",-0.0252116494392451,0.01801808184785,-1.39924158698688,0.174026210145226,27,0.896531207390823,-0.759385337555299
"C17orf78",-0.0356427144537177,0.0254576115545005,-1.40008085115969,0.173777578062755,27,0.896531207390823,-0.760006259830995
"GSTT1",-0.0301850877432263,0.0215586433255395,-1.40013855637509,0.173760493235919,27,0.896531207390823,-0.760048959302724
"USP25",-0.0284951489486791,0.0203336054829136,-1.40138201130261,0.173392665889747,27,0.896531207390823,-0.760969276127248
"SLC26A7",-0.033977386217549,0.0242213553862731,-1.4027863294886,0.172977995959738,27,0.896531207390823,-0.762009138726988
"YBX2",-0.00840205320360979,0.00598583044348865,-1.4036570669571,0.17272127805972,27,0.896531207390823,-0.762654157078236
"MICA",-0.0194199883686891,0.013831389441806,-1.40405188143943,0.172604975266339,27,0.896531207390823,-0.762946690083292
"USP10",-0.034837461459662,0.024784536407566,-1.4056127936703,0.172145776518288,27,0.896531207390823,-0.764103627953805
"TIGIT 2",-0.197614694231666,0.140516928503336,-1.40634083264192,0.171931929344276,27,0.896531207390823,-0.764643463334126
"CDNF",-0.0322198663027908,0.0228996998839103,-1.40699950069778,0.171738640244306,27,0.896531207390823,-0.765131979988202
"ARPP21",-0.0706726672757638,0.05021451460867,-1.40741512342651,0.171616762683833,27,0.896531207390823,-0.765440294660132
"AKR1C1",-0.0860542286829172,0.0610630466580893,-1.40926850841166,0.171074110217797,27,0.896531207390823,-0.766815710156762
"METTL26",-0.0441546549365027,0.0313224581778341,-1.40968038606081,0.1709537018782,27,0.896531207390823,-0.767121490434115
"ADAMTS1",-0.0263840095301088,0.0187149841427476,-1.4097799564705,0.170924603565336,27,0.896531207390823,-0.767195418709403
"CBX3",-0.0420307025864724,0.0298121499237928,-1.40985144291549,0.170903714896447,27,0.896531207390823,-0.767248497013066
"RAG1",-0.0344584247759716,0.0243733030589101,-1.4137773896581,0.169759646308848,27,0.896531207390823,-0.770165538286488
"GJA1",-0.0447643177815943,0.0316450312267567,-1.41457650842022,0.169527521026594,27,0.896531207390823,-0.77075978855368
"ECRG4",-0.023151000061984,0.0163352257562288,-1.41724396145283,0.168754515893715,27,0.896531207390823,-0.772744596562242
"IFNA16",-0.0962038047516244,0.067850576830317,-1.41787747792055,0.168571341088712,27,0.896531207390823,-0.773216258091941
"NEURL4",-0.0299695969905946,0.0211366768022795,-1.41789540858015,0.168566158926115,27,0.896531207390823,-0.773229609229804
"OCIAD1",-0.0378218099198978,0.0266254768882584,-1.42051201856883,0.167811287859061,27,0.896531207390823,-0.7751788296216
"RARRES2",-3.69137049377223e-05,2.59810577513614e-05,-1.4207929981522,0.167730387843962,27,0.896531207390823,-0.77538824879882
"DMRTB1",-0.0856328577316621,0.0601815803098691,-1.42290809398402,0.167122403484844,27,0.896531207390823,-0.776965327140367
"ITLN1",-0.0361641863663962,0.0254033519772278,-1.42359899586537,0.166924184746094,27,0.896531207390823,-0.777480736173631
"RAC3",-0.0187131599640247,0.0131438356865034,-1.42372138623432,0.166889090677108,27,0.896531207390823,-0.777572051658584
"IQCF3",-0.0373916522633926,0.0262611975247566,-1.42383652642433,0.166856080885739,27,0.896531207390823,-0.777657961337636
"SPIN1",-0.126972639605464,0.0891745738762303,-1.4238659528858,0.166847645384746,27,0.896531207390823,-0.777679917889185
"HPX 2",-2.76466868718752e-05,1.93993571514107e-05,-1.42513417615309,0.166484414683858,27,0.896531207390823,-0.77862641641357
"CPT1B",-0.0343010892160291,0.0240644414332074,-1.4253848073405,0.166412706309064,27,0.896531207390823,-0.77881351657153
"NECTIN3",-0.0434290069159449,0.0304567883721131,-1.42592207639691,0.166259070649571,27,0.896531207390823,-0.779214651434818
